Num,Name,Epoch,q,e,i,w,Node,Tp,Ref
   1P,Coyote          , 49400,  0.586,  0.967, 62.263,111.332, 58.420,19860205.895,JPL J863/77
   2P,Coyote          , 57720,  0.336,  0.848, 11.778,186.561,334.561,20170310.092,JPL K173/2
   3D,Coyote          , -9480,  0.879,  0.751, 13.216,221.659,250.669,18321126.615,IAUCAT03
   4P,Coyote          , 57262,  1.652,  0.570,  9.070,205.126,199.144,20140529.869,JPL K144/7
   5D,Coyote          ,  7440,  0.590,  0.810, 29.382, 14.947,102.968,18790331.034,IAUCAT03
   6P,Coyote          , 57200,  1.361,  0.611, 19.482,178.115,138.934,20150302.419,JPL K155/3
   7P,Coyote          , 57380,  1.239,  0.638, 22.335,172.500, 93.410,20150130.530,JPL K088/17
   8P,Coyote          , 54374,  1.027,  0.820, 54.983,207.509,270.342,20080127.026,JPL K074/27
   9P,Coyote          , 57375,  1.542,  0.510, 10.473,179.187, 68.768,20160802.560,JPL 160
  10P,Coyote          , 57262,  1.418,  0.537, 12.029,195.548,117.805,20151114.259,JPL K1013/12
Wile E. was here
